ratings,review_data,text,lat,long,name_of_loc,name_only,address_only,num_reviews,loc_type,avg_review,user_href,ID
 4 stars ,2 months ago,Nice grocery store.. I love the cake they bake,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/106173134382355948296?hl=en-HU,1
 5 stars ,3 months ago,Fresh items. Everyone loves the vegetables and fruits here. I love the cakes hereðŸ˜‰,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/107208756500162074305?hl=en-HU,1
 4 stars ,3 months ago,So many choice of fresh fruits. Awesome,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/107357640438580699405?hl=en-HU,1
 5 stars ,a month ago,Good selection to shop,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/100559711812653075621?hl=en-HU,1
 1 star ,4 months ago,"Very bad customer service. The store next door carrefour is better, has cheaper goods and way more variety. Skip this spinneys. Over bloated prices.",25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/108934345992814921151?hl=en-HU,1
 5 stars ,3 months ago,Fresh food nice variety,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/102882606603241736071?hl=en-HU,1
 5 stars ,2 months ago,"Good place for all grocery.,",25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/107538049231288815971?hl=en-HU,1
 4 stars ,5 months ago,Nice . Become a mini market. Want find much stuff over there,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/111214323051379442896?hl=en-HU,1
 3 stars ,5 months ago,It was good place in Al Ghurair parking ground level.  Now closed for renovation.,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/115418828339832598758?hl=en-HU,1
 2 stars ,4 months ago,"Used to be great place to buy monocle magazines, not any more",25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/105340992140094913344?hl=en-HU,1
 5 stars ,5 months ago,Good quality fruits and vegetables. Now they moved  1st floor near to Baskin Robin's,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/118095445126628579396?hl=en-HU,1
 1 star ,5 months ago,Poor customer service specially in cashier. Kabayan cashier (sheena) dont know how to assist customer. Im so dissapointed knowing that spinneys have customer service training.much better waitrose al thanya branch.,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/111116414727557076659?hl=en-HU,1
 4 stars ,3 months ago,Havnt been in Dubai since 2017 so I didn't know Spinney's had moved inside. I thought it had closed at first.,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/117708099141128724333?hl=en-HU,1
 4 stars ,10 months ago,Excellent shop,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/112866198829802172127?hl=en-HU,1
 4 stars ,2 months ago,Wide variety of collection of things which is not seen in any other stores,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/111005833200455017255?hl=en-HU,1
 4 stars ,5 months ago,Fast food,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/108530792936249597572?hl=en-HU,1
 4 stars ,a month ago,Nice,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/112544761239095842891?hl=en-HU,1
 5 stars ,2 months ago,Everything is excellent,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/107626457223277285305?hl=en-HU,1
 3 stars ,2 months ago,Best,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/106070632699751359938?hl=en-HU,1
 5 stars ,a year ago,"Good items as always in Spinneys. Expensive compare to other stores and considering fresh and organic products, you may go to this store to get it. Most of the customers are locals and Europeans. They will not have always any offers like other shops. Friendly staff and not much rush as well",25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/106121925840102738725?hl=en-HU,1
 4 stars ,a year ago,"Your standard Spinneys, gets most of your grocery shopping done, also has some uncommon goods worth a try. ðŸ‘Œ",25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/107232615956141181784?hl=en-HU,1
 1 star ,4 months ago,Expensive.,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/117582251946404498029?hl=en-HU,1
 5 stars ,a year ago,The best place to buy fresh fruits nearby. But It is closed now but anyone know when and where it will open?,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/117070450275496629281?hl=en-HU,1
 1 star ,a year ago,They moved somewhere still did not open itâ€™s really bad ðŸ‘€,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/107504984151957152576?hl=en-HU,1
 3 stars ,6 months ago,Good,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/105853390294756809650?hl=en-HU,1
 5 stars ,2 years ago,"Very good service. Fresh fruits, Vegetables are available. 24/7 open",25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/104199053254048131409?hl=en-HU,1
 4 stars ,a year ago,They got there own bakery inside the supermarket,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/105320576353740242344?hl=en-HU,1
 4 stars ,a year ago,One of the best supermarkets with the best food products,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/113877026383638968578?hl=en-HU,1
 5 stars ,a year ago,Best place for all frexh produce.Staff overly helpful.,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/112504351515820070874?hl=en-HU,1
 4 stars ,a year ago,Fresh produce and organize items on display.,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/116882266433941189862?hl=en-HU,1
 5 stars ,a year ago,Good quality of products,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/104309638551558269400?hl=en-HU,1
 4 stars ,a year ago,Fresh goods.,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/109367803602427161503?hl=en-HU,1
 5 stars ,a year ago,It's closed now.And relocating inside the mall area,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/108311155173984769313?hl=en-HU,1
 4 stars ,2 years ago,"Customer care is nice,fresh foods but its hard to notice where it is ,its behind the Alghurair more that makes it hard for people to locate it.",25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/108518342327957348674?hl=en-HU,1
 5 stars ,2 years ago,A great shop... convenient shopping.,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/106176626765593435717?hl=en-HU,1
 3 stars ,6 months ago,Good,25.268112,55.3180028,"Spinneys Al Ghurair, Dubai - United Arab Emirates",Spinneys Al Ghurair,Dubai - United Arab Emirates,180,Supermarket,4,https://www.google.com/maps/contrib/115465733036104576526?hl=en-HU,1
